"Year","Team","GP","W","L","Tie","Pts","GF","GA","PIM","Att.","Coach","Playoff","OTL","SOL"
2015,"St. Louis Blues",82,51,24,NA,109,248,201,0,18545,"Ken Hitchcock","Lost in round 1",3,4
2015,"Nashville Predators",82,47,25,NA,104,232,208,0,16854,"Peter Laviolette","Lost in round 1",4,6
2015,"Chicago Blackhawks",82,48,28,NA,102,229,189,0,21769,"Joel Quenneville","Won Championship",3,3
2015,"Minnesota Wild",82,46,28,NA,100,231,201,0,19023,"Mike Yeo","Lost in round 2",5,3
2015,"Winnipeg Jets",82,43,26,NA,99,230,210,0,15038,"Paul Maurice","Lost in round 1",7,6
2015,"Dallas Stars",82,41,31,NA,92,261,260,0,17350,"Lindy Ruff","Out of Playoffs",7,3
2015,"Colorado Avalanche",82,39,31,NA,90,219,227,0,16177,"Patrick Roy","Out of Playoffs",8,4
2015,"New York Rangers",82,53,22,NA,113,252,192,0,18006,"Alain Vigneault","Lost in round 3",2,5
2015,"New York Islanders",82,47,28,NA,101,252,230,0,15335,"Jack Capuano","Lost in round 1",1,6
2015,"Washington Capitals",82,45,26,NA,101,242,203,0,19099,"Barry Trotz","Lost in round 2",7,4
2015,"Pittsburgh Penguins",82,43,27,NA,98,221,210,0,18618,"Mike Johnston","Lost in round 1",6,6
2015,"Columbus Blue Jackets",82,42,35,NA,89,236,250,0,15512,"Todd Richards","Out of Playoffs",3,2
2015,"Philadelphia Flyers",82,33,31,NA,84,215,234,0,19271,"Craig Berube","Out of Playoffs",7,11
2015,"New Jersey Devils",82,32,36,NA,78,181,216,0,15190,"DeBoer, Lamoriello {+}","Out of Playoffs",7,7
2015,"Carolina Hurricanes",82,30,41,NA,71,188,226,0,12716,"Bill Peters","Out of Playoffs",4,7
2015,"Anaheim Ducks",82,51,24,NA,109,236,226,887,16874,"Bruce Boudreau","Lost in round 3",2,5
2015,"Vancouver Canucks",82,48,29,NA,101,242,222,0,18711,"Willie Desjardins","Lost in round 1",3,2
2015,"Calgary Flames",82,45,30,NA,97,241,216,0,19097,"Bob Hartley","Lost in round 2",4,3
2015,"Los Angeles Kings",82,40,27,NA,95,220,205,0,18266,"Darryl Sutter","Out of Playoffs",7,8
2015,"San Jose Sharks",82,40,33,NA,89,228,232,0,18708,"Todd McLellan","Out of Playoffs",3,6
2015,"Edmonton Oilers",82,24,44,NA,62,198,283,0,16839,"Eakins, MacTavish, Nelson {+}","Out of Playoffs",7,7
2015,"Arizona Coyotes",82,24,50,NA,56,170,272,0,13345,"Dave Tippett","Out of Playoffs",3,5
2016,"Florida Panthers",82,47,26,NA,103,239,203,0,15384,"Gerard Gallant","Lost in round 1",6,3
2016,"Tampa Bay Lightning",82,46,31,NA,97,227,201,0,19092,"Jon Cooper","Lost in round 3",2,3
2016,"Boston Bruins",82,42,31,NA,93,240,230,0,18777,"Claude Julien","Out of Playoffs",7,2
2016,"Detroit Red Wings",82,41,30,NA,93,211,224,0,20027,"Jeff Blashill","Lost in round 1",6,5
2016,"Ottawa Senators",82,38,35,NA,85,236,247,0,18085,"Dave Cameron","Out of Playoffs",3,6
2016,"Montreal Canadiens",82,38,38,NA,82,221,236,0,21288,"Michel Therrien","Out of Playoffs",3,3
2016,"Buffalo Sabres",82,35,36,NA,81,201,222,0,18541,"Dan Bylsma","Out of Playoffs",4,7
2016,"Toronto Maple Leafs",82,29,42,NA,69,198,246,0,19158,"Mike Babcock","Out of Playoffs",5,6
2016,"Dallas Stars",82,50,23,NA,109,267,230,0,18377,"Lindy Ruff","Lost in round 2",7,2
2016,"St. Louis Blues",82,49,24,NA,107,224,201,0,18451,"Ken Hitchcock","Lost in round 3",5,4
2016,"Chicago Blackhawks",82,47,26,NA,103,235,209,0,21860,"Joel Quenneville","Lost in round 1",7,2
2016,"Nashville Predators",82,41,27,NA,96,228,215,0,16971,"Peter Laviolette","Lost in round 2",12,2
2016,"Minnesota Wild",82,38,33,NA,87,216,206,0,19827,"Yeo, Torchetti {+}","Lost in round 1",9,2
2016,"Colorado Avalanche",82,39,39,NA,82,216,240,0,17032,"Patrick Roy","Out of Playoffs",4,0
2016,"Winnipeg Jets",82,35,39,NA,78,215,239,0,15294,"Paul Maurice","Out of Playoffs",5,3
2016,"Washington Capitals",82,56,18,NA,120,252,193,0,18511,"Barry Trotz","Lost in round 2",6,2
2016,"Pittsburgh Penguins",82,48,26,NA,104,245,203,0,18551,"Johnston, Sullivan {+}","Won Championship",4,4
2016,"New York Rangers",82,46,27,NA,101,236,217,0,18006,"Alain Vigneault","Lost in round 1",7,2
2016,"New York Islanders",82,45,27,NA,100,232,216,0,13627,"Jack Capuano","Lost in round 2",5,5
2016,"Philadelphia Flyers",82,41,27,NA,96,214,218,0,19227,"Dave Hakstol","Lost in round 1",6,8
2016,"Carolina Hurricanes",82,35,31,NA,86,198,226,0,12204,"Bill Peters","Out of Playoffs",11,5
2016,"New Jersey Devils",82,38,36,NA,84,184,208,0,15074,"John Hynes","Out of Playoffs",2,6
2016,"Columbus Blue Jackets",82,34,40,NA,76,219,252,0,14666,"Richards, Tortorella {+}","Out of Playoffs",4,4
2016,"Anaheim Ducks",82,46,25,NA,103,218,192,0,16337,"Bruce Boudreau","Lost in round 1",7,4
2016,"Los Angeles Kings",82,48,28,NA,102,225,195,0,18274,"Darryl Sutter","Lost in round 1",3,3
2016,"San Jose Sharks",82,46,30,NA,98,241,210,0,16747,"Peter DeBoer","Lost in Finals",3,3
2016,"Arizona Coyotes",82,35,39,NA,78,209,245,0,13350,"Dave Tippett","Out of Playoffs",7,1
2016,"Calgary Flames",82,35,40,NA,77,231,260,0,19146,"Bob Hartley","Out of Playoffs",4,3
2016,"Vancouver Canucks",82,31,38,NA,75,191,243,0,18431,"Willie Desjardins","Out of Playoffs",9,4
2016,"Edmonton Oilers",82,31,43,NA,70,203,245,0,16841,"Todd McLellan","Out of Playoffs",5,3
2017,"Montreal Canadiens",82,47,26,NA,103,226,200,0,21288,"Therrien, Julien {+}","Lost in round 1",7,2
2017,"Ottawa Senators",82,44,28,NA,98,212,214,0,16744,"Guy Boucher","Lost in round 3",6,4
2017,"Boston Bruins",82,44,31,NA,95,234,212,0,17565,"Julien, Cassidy {+}","Lost in round 1",4,3
2017,"Toronto Maple Leafs",82,40,27,NA,95,251,242,0,19764,"Mike Babcock","Lost in round 1",7,8
2017,"Tampa Bay Lightning",82,42,30,NA,94,234,227,0,19092,"Jon Cooper","Out of Playoffs",7,3
2017,"Florida Panthers",82,35,36,NA,81,210,237,0,14621,"Gallant, Rowe {+}","Out of Playoffs",5,6
2017,"Detroit Red Wings",82,33,36,NA,79,207,244,0,20027,"Jeff Blashill","Out of Playoffs",13,0
2017,"Buffalo Sabres",82,33,37,NA,78,201,237,0,18592,"Dan Bylsma","Out of Playoffs",6,6
2017,"Chicago Blackhawks",82,50,23,NA,109,244,213,0,21752,"Joel Quenneville","Lost in round 1",8,1
2017,"Minnesota Wild",82,49,25,NA,106,266,208,0,19070,"Bruce Boudreau","Lost in round 1",6,2
2017,"St. Louis Blues",82,46,29,NA,99,235,218,0,19540,"Hitchcock, Yeo {+}","Lost in round 2",5,2
2017,"Nashville Predators",82,41,29,NA,94,240,224,0,17160,"Peter Laviolette","Lost in Finals",8,4
2017,"Winnipeg Jets",82,40,35,NA,87,249,256,0,15732,"Paul Maurice","Out of Playoffs",6,1
2017,"Dallas Stars",82,34,37,NA,79,223,262,0,18102,"Lindy Ruff","Out of Playoffs",9,2
2017,"Colorado Avalanche",82,22,56,NA,48,166,278,0,14835,"Jared Bednar","Out of Playoffs",2,2
2017,"Washington Capitals",82,55,19,NA,118,263,182,0,18506,"Barry Trotz","Lost in round 2",3,5
2017,"Pittsburgh Penguins",82,50,21,NA,111,282,234,0,19763,"Mike Sullivan","Won Championship",6,5
2017,"Columbus Blue Jackets",82,50,24,NA,108,249,195,0,15857,"John Tortorella","Lost in round 1",6,2
2017,"New York Rangers",82,48,28,NA,102,256,220,0,18020,"Alain Vigneault","Lost in round 2",2,4
2017,"New York Islanders",82,41,29,NA,94,241,242,0,13101,"Capuano, Weight {+}","Out of Playoffs",8,4
2017,"Philadelphia Flyers",82,39,33,NA,88,219,236,0,19644,"Dave Hakstol","Out of Playoffs",5,5
2017,"Carolina Hurricanes",82,36,31,NA,87,215,236,0,11776,"Bill Peters","Out of Playoffs",9,6
2017,"New Jersey Devils",82,28,40,NA,70,183,244,0,14567,"John Hynes","Out of Playoffs",11,3
2017,"Anaheim Ducks",82,46,23,NA,105,223,200,0,15942,"Randy Carlyle","Lost in round 3",10,3
2017,"Edmonton Oilers",82,47,26,NA,103,247,212,0,18347,"Todd McLellan","Lost in round 2",4,5
2017,"San Jose Sharks",82,46,29,NA,99,221,201,0,17508,"Peter DeBoer","Lost in round 1",6,1
2017,"Calgary Flames",82,45,33,NA,94,226,221,0,18728,"Glen Gulutzan","Lost in round 1",2,2
2017,"Los Angeles Kings",82,39,35,NA,86,201,205,0,18240,"Darryl Sutter","Out of Playoffs",4,4
2017,"Arizona Coyotes",82,30,42,NA,70,197,260,0,13095,"Dave Tippett","Out of Playoffs",8,2
2017,"Vancouver Canucks",82,30,43,NA,69,182,243,0,18510,"Willie Desjardins","Out of Playoffs",7,2
2018,"Tampa Bay Lightning",82,54,23,NA,113,296,236,0,19092,"Jon Cooper","Lost in round 3",3,2
2018,"Boston Bruins",82,50,20,NA,112,270,214,0,17565,"Bruce Cassidy","Lost in round 2",9,3
2018,"Toronto Maple Leafs",82,49,26,NA,105,277,232,0,19187,"Mike Babcock","Lost in round 1",5,2
2018,"Florida Panthers",82,44,30,NA,96,248,246,0,13851,"Bob Boughner","Out of Playoffs",5,3
2018,"Detroit Red Wings",82,30,39,NA,73,217,255,0,19515,"Jeff Blashill","Out of Playoffs",12,1
2018,"Montreal Canadiens",82,29,40,NA,71,209,264,0,21302,"Claude Julien","Out of Playoffs",7,6
2018,"Ottawa Senators",82,28,43,NA,67,221,291,0,15829,"Guy Boucher","Out of Playoffs",4,7
2018,"Buffalo Sabres",82,25,45,NA,62,199,280,0,18564,"Phil Housley","Out of Playoffs",10,2
2018,"Nashville Predators",82,53,18,NA,117,267,211,0,17307,"Peter Laviolette","Lost in round 2",4,7
2018,"Winnipeg Jets",82,52,20,NA,114,277,218,0,15321,"Paul Maurice","Lost in round 3",8,2
2018,"Minnesota Wild",82,45,26,NA,101,253,232,0,19037,"Bruce Boudreau","Lost in round 1",8,3
2018,"Colorado Avalanche",82,43,30,NA,95,257,237,0,15587,"Jared Bednar","Lost in round 1",8,1
2018,"St. Louis Blues",82,44,32,NA,94,226,222,0,18357,"Mike Yeo","Out of Playoffs",6,0
2018,"Dallas Stars",82,42,32,NA,92,235,225,0,18110,"Ken Hitchcock","Out of Playoffs",5,3
2018,"Chicago Blackhawks",82,33,39,NA,76,229,256,0,21654,"Joel Quenneville","Out of Playoffs",8,2
2018,"Washington Capitals",82,49,26,NA,105,259,239,0,18775,"Barry Trotz","Won Championship",6,1
2018,"Pittsburgh Penguins",82,47,29,NA,100,272,250,0,18580,"Mike Sullivan","Lost in round 2",4,2
2018,"Philadelphia Flyers",82,42,26,NA,98,251,243,0,19517,"Dave Hakstol","Lost in round 1",7,7
2018,"New Jersey Devils",82,44,29,NA,97,248,244,0,15201,"John Hynes","Lost in round 1",5,4
2018,"Columbus Blue Jackets",82,45,30,NA,97,242,230,0,16659,"John Tortorella","Lost in round 1",3,4
2018,"Carolina Hurricanes",82,36,35,NA,83,228,256,0,13321,"Bill Peters","Out of Playoffs",8,3
2018,"New York Islanders",82,35,37,NA,80,264,296,0,12002,"Doug Weight","Out of Playoffs",7,3
2018,"New York Rangers",82,34,39,NA,77,231,268,0,17851,"Alain Vigneault","Out of Playoffs",4,5
2018,"Vegas Golden Knights",82,51,24,NA,109,272,228,0,18042,"Gerard Gallant","Lost in Finals",4,3
2018,"Anaheim Ducks",82,44,25,NA,101,235,216,0,16636,"Randy Carlyle","Lost in round 1",6,7
2018,"San Jose Sharks",82,45,27,NA,100,252,229,0,17366,"Peter DeBoer","Lost in round 2",7,3
2018,"Los Angeles Kings",82,45,29,NA,98,239,203,0,18240,"John Stevens","Lost in round 1",7,1
2018,"Calgary Flames",82,37,35,NA,84,218,248,0,18905,"Glen Gulutzan","Out of Playoffs",5,5
2018,"Edmonton Oilers",82,36,40,NA,78,234,263,0,18347,"Todd McLellan","Out of Playoffs",5,1
2018,"Vancouver Canucks",82,31,40,NA,73,218,264,0,18079,"Travis Green","Out of Playoffs",6,5
2018,"Arizona Coyotes",82,29,41,NA,70,208,256,0,13041,"Rick Tocchet","Out of Playoffs",7,5
